,index,ecm_around_single_spot,ecm_around_single_spot bg subtracted,ecm_around_single_spot_mean_intensity,ecm_around_single_spot_mean_intensity bg subtracted,exp condition,filename,mean_intensty_original_synapse,mean_intensty_original_synapse bg subtracted,original_synapse_at_single_spot,original_synapse_at_single_spot bg subtracted,"Synapse brightness scale (0 = dimmest, 7 = brightest)",radial_average,radial_average_bgsubtracted,Time,Drug,Condition,"Synapse brightness scale (0 = dimmest, 5 = brightest)"
249,258,"[[0 4 3 ... 0 0 1]
 [4 0 0 ... 0 0 0]
 [1 1 1 ... 2 0 3]
 ...
 [0 0 0 ... 0 0 0]
 [0 1 0 ... 0 0 0]
 [0 0 1 ... 0 0 2]]","[[0.         0.01441294 0.01049137 ... 0.         0.         0.00264824]
 [0.01441294 0.         0.         ... 0.         0.         0.        ]
 [0.00264824 0.00264824 0.00264824 ... 0.0065698  0.         0.01049137]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.00264824 0.         ... 0.         0.         0.        ]
 [0.         0.         0.00264824 ... 0.         0.         0.0065698 ]]",0.5914,0.001843371019607843,2hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/2hrs_DMSO/10_001_ExpControl,9.3625,0.012654432549019608,"[[ 5  6  6 ...  7 10 14]
 [ 5  5  3 ... 13  3 14]
 [ 5 10  7 ...  9 12  7]
 ...
 [ 0  0  0 ...  4  7  7]
 [ 0  0  0 ...  9  4  7]
 [ 0  0  0 ...  8  7  8]]","[[0.         0.         0.         ... 0.         0.00321804 0.01890431]
 [0.         0.         0.         ... 0.01498275 0.         0.01890431]
 [0.         0.00321804 0.         ... 0.         0.01106118 0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",1,"[0.35714286 0.515      0.58823529 0.84090909 0.63181818 0.51953125
 0.51541096 0.4623494  0.54704301 0.5259901  0.65131579 0.61885246
 0.66759259 0.72470588 0.56115108 0.48039216 0.48897059 0.6375
 0.65       0.        ]","[0.00100264 0.00151664 0.00181526 0.00275145 0.00199443 0.00153998
 0.00151101 0.00139892 0.0016575  0.00158521 0.00206691 0.00191937
 0.00213933 0.00238808 0.00174714 0.00145633 0.00151493 0.0020225
 0.00206091 0.        ]",2hrs,DMSO,2hr,1
250,432,"[[0 1 1 ... 1 0 0]
 [0 3 0 ... 1 1 0]
 [1 1 0 ... 0 1 0]
 ...
 [1 0 0 ... 1 2 0]
 [0 0 0 ... 0 1 0]
 [0 1 1 ... 1 0 0]]","[[0.         0.00271608 0.00271608 ... 0.00271608 0.         0.        ]
 [0.         0.01055922 0.         ... 0.00271608 0.00271608 0.        ]
 [0.00271608 0.00271608 0.         ... 0.         0.00271608 0.        ]
 ...
 [0.00271608 0.         0.         ... 0.00271608 0.00663765 0.        ]
 [0.         0.         0.         ... 0.         0.00271608 0.        ]
 [0.         0.00271608 0.00271608 ... 0.00271608 0.         0.        ]]",0.5848,0.0018434443921568626,2hrs_Bic,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/2hrs_Bic/09_003_ExpControl,9.9266,0.015236512392156863,"[[36 34 40 ...  8  7  9]
 [42 30 24 ...  5 11  4]
 [30 29 25 ...  7  5  8]
 ...
 [ 4 10  3 ...  0  2  3]
 [ 7  5 12 ...  1  2  2]
 [ 5 11  7 ...  0  2  0]]","[[0.10317529 0.09533216 0.11886157 ... 0.         0.         0.        ]
 [0.12670471 0.07964588 0.05611647 ... 0.         0.00513608 0.        ]
 [0.07964588 0.07572431 0.06003804 ... 0.         0.         0.        ]
 ...
 [0.         0.00121451 0.         ... 0.         0.         0.        ]
 [0.         0.         0.00905765 ... 0.         0.         0.        ]
 [0.         0.00513608 0.         ... 0.         0.         0.        ]]",1,"[0.48214286 0.485      0.50367647 0.39772727 0.33863636 0.375
 0.42294521 0.42018072 0.47715054 0.39480198 0.48574561 0.5317623
 0.65277778 0.90235294 0.9118705  1.09558824 1.25367647 0.6375
 0.53333333 0.        ]","[0.00146022 0.00145593 0.0015453  0.00120012 0.0009773  0.00111035
 0.00126228 0.00123747 0.00144828 0.00117227 0.00147001 0.00166416
 0.00206544 0.0029983  0.00299707 0.00365231 0.00438454 0.0019952
 0.00158922 0.        ]",2hrs,Bic,2hr + Bic,1
251,948,"[[1 0 0 ... 0 0 0]
 [1 0 1 ... 0 0 1]
 [1 0 2 ... 0 0 1]
 ...
 [0 0 0 ... 0 1 1]
 [0 0 0 ... 0 0 1]
 [0 0 0 ... 0 1 1]]","[[0.00264471 0.         0.         ... 0.         0.         0.        ]
 [0.00264471 0.         0.00264471 ... 0.         0.         0.00264471]
 [0.00264471 0.         0.00656627 ... 0.         0.         0.00264471]
 ...
 [0.         0.         0.         ... 0.         0.00264471 0.00264471]
 [0.         0.         0.         ... 0.         0.         0.00264471]
 [0.         0.         0.         ... 0.         0.00264471 0.00264471]]",0.588,0.0018455733333333335,4hrs_Bic,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/4hrs_Bic/05_004_ExpControl,7.7741,0.015936913725490196,"[[16 16  7 ...  0  0  0]
 [18 12  9 ...  0  0  0]
 [14 15 15 ...  1  0  0]
 ...
 [ 1  0  0 ...  1  0  0]
 [ 0  1  2 ...  1  0  1]
 [ 0  0  1 ...  0  0  0]]","[[0.03327451 0.03327451 0.         ... 0.         0.         0.        ]
 [0.04111765 0.01758824 0.00582353 ... 0.         0.         0.        ]
 [0.02543137 0.02935294 0.02935294 ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",1,"[1.38392857 1.11       0.6875     0.57670455 0.67272727 0.74023438
 0.44691781 0.41415663 0.52016129 0.51980198 0.50986842 0.68032787
 0.65092593 0.56823529 0.51438849 0.63970588 0.41911765 0.3125
 0.45       1.        ]","[0.00467473 0.00366982 0.00218909 0.00178639 0.00208097 0.00238665
 0.00132846 0.00121647 0.00156961 0.0016007  0.00155006 0.00219044
 0.00209511 0.00177922 0.00162451 0.00212997 0.00124927 0.00090627
 0.00123268 0.00264471]",4hrs,Bic,4hr + Bic,1
252,634,"[[1 3 3 ... 0 0 1]
 [3 4 5 ... 0 1 0]
 [2 2 3 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 1 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[[0.00274784 0.01059098 0.01059098 ... 0.         0.         0.00274784]
 [0.01059098 0.01451255 0.01843412 ... 0.         0.00274784 0.        ]
 [0.00666941 0.00666941 0.01059098 ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.00274784 ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",0.5734,0.0018462743529411765,4hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/4hrs_DMSO/07_005_ExpControl,18.6362,0.028237807058823533,"[[31 32 24 ...  6  8  5]
 [28 23 25 ...  3  2  3]
 [40 28 40 ...  6  3  3]
 ...
 [ 0  0  1 ...  5 11  5]
 [ 0  0  0 ...  6  5  3]
 [ 0  0  0 ...  7  5  4]]","[[0.0494549  0.05337647 0.02200392 ... 0.         0.         0.        ]
 [0.0376902  0.01808235 0.02592549 ... 0.         0.         0.        ]
 [0.08474902 0.0376902  0.08474902 ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",3,"[0.55357143 0.585      0.59926471 0.66193182 0.9        0.9453125
 0.6489726  0.48795181 0.48655914 0.43935644 0.44407895 0.42110656
 0.39907407 0.35176471 0.63129496 1.09558824 0.96691176 1.06875
 0.98333333 1.        ]","[0.00162592 0.00182463 0.00191423 0.00210898 0.0029959  0.00316609
 0.00206063 0.001484   0.00151683 0.00133802 0.00134896 0.00132069
 0.0012357  0.00109087 0.00210624 0.00385915 0.00335598 0.00377304
 0.00340628 0.00274784]",4hrs,DMSO,4hr,2
253,2413,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 1 ... 0 0 0]
 ...
 [1 1 3 ... 0 0 0]
 [3 1 0 ... 0 0 1]
 [1 1 0 ... 1 0 0]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.00242431 ... 0.         0.         0.        ]
 ...
 [0.00242431 0.00242431 0.01026745 ... 0.         0.         0.        ]
 [0.01026745 0.00242431 0.         ... 0.         0.         0.00242431]
 [0.00242431 0.00242431 0.         ... 0.00242431 0.         0.        ]]",0.6093,0.0018484535686274512,4hrs_Bic,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181011_TNR_analyse/TIF_imp/4hrs_Bic/05_004_ExpControl,2.2282,0.00448478094117647,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [3 0 2 ... 2 1 1]
 [2 3 2 ... 1 2 0]
 [5 3 5 ... 0 1 0]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00383608 0.         0.         ... 0.         0.         0.        ]
 [0.         0.00383608 0.         ... 0.         0.         0.        ]
 [0.01167922 0.00383608 0.01167922 ... 0.         0.         0.        ]]",0,"[0.41964286 0.665      1.06985294 0.85511364 0.77272727 0.7109375
 0.41609589 0.39307229 0.42204301 0.43688119 0.64802632 0.68032787
 0.84351852 0.75647059 0.51258993 0.36029412 0.38970588 0.4125
 0.36666667 0.        ]","[0.00117777 0.00197151 0.00344687 0.0026473  0.00236334 0.00219728
 0.00115745 0.00109724 0.0011741  0.00125741 0.00198473 0.00209728
 0.00270763 0.00237293 0.00151466 0.00099824 0.00112092 0.00115911
 0.00101369 0.        ]",4hrs,Bic,4hr + Bic,0
254,360,"[[1 2 1 ... 2 0 1]
 [1 1 1 ... 1 0 1]
 [6 2 2 ... 0 1 1]
 ...
 [0 1 0 ... 0 0 0]
 [0 2 0 ... 0 1 0]
 [0 0 1 ... 0 0 0]]","[[0.00280902 0.00673059 0.00280902 ... 0.00673059 0.         0.00280902]
 [0.00280902 0.00280902 0.00280902 ... 0.00280902 0.         0.00280902]
 [0.02241686 0.00673059 0.00673059 ... 0.         0.00280902 0.00280902]
 ...
 [0.         0.00280902 0.         ... 0.         0.         0.        ]
 [0.         0.00673059 0.         ... 0.         0.00280902 0.        ]
 [0.         0.         0.00280902 ... 0.         0.         0.        ]]",0.5715,0.001850226745098039,2hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/2hrs_DMSO/10_005_ExpControl,15.4997,0.022950397882352938,"[[ 4  2  3 ... 10  8  8]
 [ 3  3  1 ...  9 10  8]
 [ 1  3  3 ...  4  8  9]
 ...
 [ 4  4  4 ... 20  7  7]
 [ 3  1  6 ... 13 14 13]
 [ 2  4  1 ... 17 18 13]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.01889176 0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.00712706 0.01104863 0.        ]]",3,"[0.3125     0.635      0.76102941 0.61931818 0.44545455 0.42382812
 0.5119863  0.71987952 0.96236559 0.57425743 0.48245614 0.51229508
 0.48240741 0.49176471 0.57913669 0.52696078 0.41176471 0.825
 1.31666667 1.        ]","[0.00091755 0.0020118  0.00256313 0.00198621 0.00135496 0.00128181
 0.00163059 0.00239245 0.00337921 0.00186921 0.00151992 0.00164993
 0.00153331 0.00153582 0.00188693 0.00164658 0.00124255 0.00272074
 0.00458858 0.00280902]",2hrs,DMSO,2hr,2
255,290,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 1 0]
 [0 0 0 ... 0 0 1]
 ...
 [0 0 1 ... 3 2 3]
 [0 1 1 ... 2 4 3]
 [0 0 0 ... 1 2 0]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.00283725 0.         0.         ... 0.         0.00283725 0.        ]
 [0.         0.         0.         ... 0.         0.         0.00283725]
 ...
 [0.         0.         0.00283725 ... 0.01068039 0.00675882 0.01068039]
 [0.         0.00283725 0.00283725 ... 0.00675882 0.01460196 0.01068039]
 [0.         0.         0.         ... 0.00283725 0.00675882 0.        ]]",0.5726,0.0018593660784313726,2hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/2hrs_DMSO/10_002_ExpControl,9.0864,0.008455528784313729,"[[11 12 13 ... 11  2  3]
 [13 15 14 ...  4  1 13]
 [10 11 13 ...  9  5 12]
 ...
 [ 5  4 12 ...  6 10  9]
 [ 6  5 12 ... 13 11  8]
 [ 7  8 10 ... 16  5  9]]","[[0.00833216 0.01225373 0.01617529 ... 0.00833216 0.         0.        ]
 [0.01617529 0.02401843 0.02009686 ... 0.         0.         0.01617529]
 [0.00441059 0.00833216 0.01617529 ... 0.00048902 0.         0.01225373]
 ...
 [0.         0.         0.01225373 ... 0.         0.00441059 0.00048902]
 [0.         0.         0.01225373 ... 0.01617529 0.00833216 0.        ]
 [0.         0.         0.00441059 ... 0.02794    0.         0.00048902]]",1,"[0.51785714 0.68       0.54779412 0.39488636 0.53863636 0.63476562
 0.62328767 0.53012048 0.42741935 0.47277228 0.50986842 0.48463115
 0.44074074 0.46941176 0.86151079 1.41421569 0.94485294 0.59375
 0.46666667 0.        ]","[0.00164356 0.00211367 0.00173761 0.00118508 0.00173772 0.00209748
 0.00200794 0.00165922 0.00131763 0.00149973 0.00161902 0.00151056
 0.00136696 0.00148492 0.00296113 0.00513401 0.00331065 0.00196925
 0.00150477 0.        ]",2hrs,DMSO,2hr,1
256,2305,"[[0 0 2 ... 0 0 1]
 [1 0 0 ... 0 1 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 1 2 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [1 0 1 ... 0 1 0]]","[[0.         0.         0.00656549 ... 0.         0.         0.00264392]
 [0.00264392 0.         0.         ... 0.         0.00264392 0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.00264392 0.00656549 ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.00264392 0.         0.00264392 ... 0.         0.00264392 0.        ]]",0.6023,0.0018602287843137255,2hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181011_TNR_analyse/TIF_imp/2hrs_DMSO/10_001_ExpControl,4.4763,0.006563000784313726,"[[ 2  4  3 ...  1  0  0]
 [ 2  4  6 ...  0  0  0]
 [ 2  3  5 ...  0  1  0]
 ...
 [ 1  3  3 ...  0  3  0]
 [ 1 10  5 ...  4  2  2]
 [ 3  8  5 ...  0  2  1]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.00669804 ... 0.         0.         0.        ]
 [0.         0.         0.00277647 ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.02238431 0.00277647 ... 0.         0.         0.        ]
 [0.         0.01454118 0.00277647 ... 0.         0.         0.        ]]",0,"[0.54464286 0.45       0.69852941 0.5625     0.64090909 0.72460938
 0.58390411 0.60542169 0.68413978 0.79455446 0.80921053 0.65061475
 0.53611111 0.42705882 0.4352518  0.44362745 0.43014706 0.34375
 0.21666667 0.        ]","[0.00158829 0.00133669 0.00212399 0.00168684 0.00197037 0.00226267
 0.00178882 0.00183928 0.00214711 0.00257353 0.00263402 0.00202388
 0.00161618 0.00126138 0.00128405 0.00132636 0.00124531 0.00095676
 0.00061544 0.        ]",2hrs,DMSO,2hr,0
257,1162,"[[3 7 3 ... 0 0 0]
 [3 1 2 ... 0 0 0]
 [3 2 4 ... 0 0 0]
 ...
 [0 0 0 ... 0 1 0]
 [0 0 0 ... 0 1 0]
 [0 0 1 ... 0 0 0]]","[[0.01038431 0.02607059 0.01038431 ... 0.         0.         0.        ]
 [0.01038431 0.00254118 0.00646275 ... 0.         0.         0.        ]
 [0.01038431 0.00646275 0.01430588 ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.00254118 0.        ]
 [0.         0.         0.         ... 0.         0.00254118 0.        ]
 [0.         0.         0.00254118 ... 0.         0.         0.        ]]",0.5837,0.0018602698039215685,12hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/12hrs_DMSO/03_004_ExpControl,10.1487,0.021358454784313727,"[[ 1  5  4 ...  1  0  0]
 [ 6  1  1 ...  0  0  0]
 [ 7  7  6 ...  0  0  0]
 ...
 [ 2  4  3 ...  7  7  4]
 [ 5  4  1 ...  7  9  5]
 [ 3  3  0 ...  8  4 11]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.00448588]]",1,"[0.8125     0.675      0.57352941 0.68465909 0.53181818 0.29492188
 0.26027397 0.22590361 0.25403226 0.4009901  0.50328947 0.6875
 0.84351852 0.94588235 0.92086331 0.75       0.54779412 0.64375
 0.95       3.        ]","[0.00259468 0.00203969 0.00172641 0.00228886 0.00170282 0.00083842
 0.0007134  0.00062188 0.00070862 0.00120862 0.00157864 0.00217985
 0.00280944 0.00320103 0.0031122  0.00242015 0.00162549 0.00194647
 0.00321935 0.01038431]",12hrs,DMSO,12hr,1
258,2115,"[[4 4 2 ... 0 0 1]
 [3 1 2 ... 0 0 0]
 [2 2 1 ... 0 0 0]
 ...
 [0 2 0 ... 0 0 0]
 [1 2 1 ... 1 0 0]
 [0 1 1 ... 0 0 0]]","[[0.01441059 0.01441059 0.00656745 ... 0.         0.         0.00264588]
 [0.01048902 0.00264588 0.00656745 ... 0.         0.         0.        ]
 [0.00656745 0.00656745 0.00264588 ... 0.         0.         0.        ]
 ...
 [0.         0.00656745 0.         ... 0.         0.         0.        ]
 [0.00264588 0.00656745 0.00264588 ... 0.00264588 0.         0.        ]
 [0.         0.00264588 0.00264588 ... 0.         0.         0.        ]]",0.577,0.0018651136862745097,4hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181011_TNR_analyse/TIF_imp/4hrs_DMSO/08_002_ExpControl,2.4599,0.005988302431372549,"[[2 1 0 ... 1 0 0]
 [3 2 1 ... 0 2 0]
 [0 1 2 ... 0 0 0]
 ...
 [0 0 1 ... 0 0 0]
 [0 0 0 ... 1 0 0]
 [1 0 0 ... 0 0 0]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.00306157 0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",0,"[0.49107143 0.45       0.45220588 0.34943182 0.32727273 0.34375
 0.31335616 0.27560241 0.31182796 0.375      0.56907895 0.77151639
 0.58703704 0.81882353 0.90107914 1.25245098 1.11029412 1.05625
 0.95       4.        ]","[0.00148156 0.00135011 0.00136063 0.00101516 0.00093841 0.00100669
 0.00095361 0.0008003  0.00092965 0.00111851 0.00184002 0.00259684
 0.00191113 0.00272331 0.00301281 0.00437691 0.00377253 0.00352823
 0.00306639 0.01441059]",4hrs,DMSO,4hr,0
259,577,"[[0 0 1 ... 0 0 0]
 [1 1 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 ...
 [0 1 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[[0.        0.        0.0026302 ... 0.        0.        0.       ]
 [0.0026302 0.0026302 0.        ... 0.        0.        0.       ]
 [0.0026302 0.        0.        ... 0.        0.        0.       ]
 ...
 [0.        0.0026302 0.        ... 0.        0.        0.       ]
 [0.        0.        0.        ... 0.        0.        0.       ]
 [0.        0.        0.        ... 0.        0.        0.       ]]",0.5877,0.001865122666666667,4hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/4hrs_DMSO/07_003_ExpControl,11.0137,0.01627943431372549,"[[ 8 10  6 ...  4  4  0]
 [11  8  8 ...  1  3  3]
 [ 6 10  8 ...  3  0  1]
 ...
 [ 1  4  2 ...  1  0  0]
 [ 1  2  3 ...  4  1  1]
 [ 2  3  3 ...  1  0  0]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.00084902 0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",2,"[0.41964286 0.34       0.44485294 0.46875    0.89090909 1.19335938
 0.98287671 0.59186747 0.40591398 0.46039604 0.55372807 0.64241803
 0.55648148 0.58588235 0.53956835 0.34068627 0.30882353 0.28125
 0.23333333 0.        ]","[0.00117292 0.00100403 0.00131723 0.00138332 0.00290384 0.0041073
 0.00334804 0.00186012 0.00119087 0.00137715 0.00170846 0.00207472
 0.00171954 0.00188738 0.00176059 0.00102584 0.00087399 0.00081238
 0.00065676 0.        ]",4hrs,DMSO,4hr,1
260,645,"[[0 0 1 ... 0 0 0]
 [0 1 1 ... 1 0 1]
 [0 0 1 ... 0 0 0]
 ...
 [0 0 1 ... 0 0 0]
 [0 1 0 ... 1 0 1]
 [1 1 0 ... 0 0 0]]","[[0.         0.         0.00266235 ... 0.         0.         0.        ]
 [0.         0.00266235 0.00266235 ... 0.00266235 0.         0.00266235]
 [0.         0.         0.00266235 ... 0.         0.         0.        ]
 ...
 [0.         0.         0.00266235 ... 0.         0.         0.        ]
 [0.         0.00266235 0.         ... 0.00266235 0.         0.00266235]
 [0.00266235 0.00266235 0.         ... 0.         0.         0.        ]]",0.5937,0.001866606823529412,4hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/4hrs_DMSO/07_005_ExpControl,11.7873,0.01913316411764706,"[[10  9 11 ...  2  0  4]
 [ 6  7  8 ...  3  2  0]
 [ 6  7  1 ...  1  0  5]
 ...
 [11  1 11 ...  1  0  2]
 [ 8 13 13 ...  1  1  1]
 [10 11 14 ...  0  0  0]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.0056451  0.0056451  ... 0.         0.         0.        ]
 [0.         0.         0.00956667 ... 0.         0.         0.        ]]",2,"[0.35714286 0.33       0.47058824 0.70454545 0.99318182 0.67773438
 0.49315068 0.65361446 0.7688172  0.51237624 0.46820175 0.50819672
 0.68240741 0.58352941 0.51258993 0.49264706 0.61764706 0.7
 0.46666667 0.        ]","[0.00100706 0.00099191 0.00141953 0.00222633 0.00329098 0.00213147
 0.00150484 0.00206065 0.00249368 0.00156516 0.00143568 0.00158007
 0.00223888 0.00181874 0.00157758 0.00147517 0.00190364 0.00219419
 0.00134737 0.        ]",4hrs,DMSO,4hr,1
261,390,"[[0 1 0 ... 0 0 0]
 [0 0 2 ... 0 0 0]
 [0 2 4 ... 0 0 0]
 ...
 [0 0 1 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 1 1 0]]","[[0.         0.00275961 0.         ... 0.         0.         0.        ]
 [0.         0.         0.00668118 ... 0.         0.         0.        ]
 [0.         0.00668118 0.01452431 ... 0.         0.         0.        ]
 ...
 [0.         0.         0.00275961 ... 0.         0.         0.        ]
 [0.00275961 0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.00275961 0.00275961 0.        ]]",0.5706,0.0018683759215686276,2hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/2hrs_DMSO/10_005_ExpControl,11.9442,0.025217276549019608,"[[14  7 11 ...  0  0  0]
 [13 15 10 ...  0  1  0]
 [13 12  6 ...  0  2  0]
 ...
 [ 2  3  0 ...  2  1  0]
 [ 1  0  2 ...  0  0  4]
 [ 5  1  1 ...  1  0  0]]","[[0.0091749  0.         0.         ... 0.         0.         0.        ]
 [0.00525333 0.01309647 0.         ... 0.         0.         0.        ]
 [0.00525333 0.00133176 0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",2,"[0.21428571 0.3        0.3125     0.39488636 0.33409091 0.41601562
 0.56335616 1.00150602 0.75134409 0.64480198 0.76864035 0.61885246
 0.43981481 0.57058824 0.67086331 0.42892157 0.20588235 0.3625
 0.36666667 0.        ]","[0.00063284 0.00088017 0.00092218 0.00119206 0.00100383 0.00127513
 0.00179937 0.00344799 0.0024826  0.00209865 0.00268556 0.00209709
 0.0013751  0.00184664 0.00224839 0.00132605 0.00058951 0.00109477
 0.00114742 0.        ]",2hrs,DMSO,2hr,1
